MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,IRATE,MINDEX
48.25,7.59,9.01,9.66,13.1,17.04,12.24,7.95,2.38,5.35,15.4,9.11,31.93,5.65,7.6,0.0833,3028.2
47.18,7.37,8.75,9.55,12.64,16.7,12.14,7.57,2.36,5.37,15.01,8.89,31.1,5.64,7.42,0.0835,2999.04
48.54,7.45,8.92,9.88,13.07,17.15,12.3,7.75,2.37,5.45,15.32,9.08,31.4,5.78,7.66,0.083,3038.89
48.84,7.41,8.88,9.75,13.13,17.36,12.37,7.72,2.36,5.54,14.91,9.18,31.43,5.82,7.73,0.0824,3046.8
48.85,7.5,8.85,9.87,11.14,17.54,12.17,7.82,2.19,5.52,12.1,7.9,30.6,5.59,7.3,0.0823,3067.78
53.27,8.04,9.2,10.45,11.72,18.96,13.19,8.31,2.37,5.9,12.56,8.56,32.77,5.93,7.79,0.0724,3348.85
56.5,7.61,9.64,11.03,12.28,19.55,13.8,8.66,2.51,6.07,13.09,9.13,33.9,6.26,8.15,0.0728,3498.93
60.97,8.08,10.22,12.23,12.97,21.52,14.77,9.24,2.69,6.2,13.77,10.02,36.33,6.43,8.69,0.068,3847.04
58.74,7.95,10.06,12.18,12.72,22.03,14.88,9.08,2.67,6.1,13.36,10.01,35.82,6.33,8.55,0.0808,3716.74
58.62,7.77,10,11.87,12.76,22.45,15.04,8.95,2.7,6.19,12.97,9.92,35.55,6.36,8.49,0.0819,3685.24
59.75,7.81,10.1,11.81,12.79,22.65,15.32,9.07,2.73,6.2,13.06,10.11,36.02,6.55,8.61,0.0829,3807.95
66.05,8.35,10.55,12.76,13.27,24.27,16.61,9.67,3.01,6.27,13.78,10.83,38.71,6.85,9.08,0.0905,4030.35
65.11,8.25,10.57,12.6,13.3,23.07,16.35,9.73,2.96,6.42,13.99,10.81,38.44,6.83,9,0.0899,3955.36
64.15,8.2,10.32,12.24,13.01,22.6,16.06,9.33,2.89,6.07,13.73,10.63,37.8,6.65,8.87,0.0935,3893.47
48.43,6.43,8.37,8.91,11.56,18.33,12.91,7.1,2.29,4.85,11.45,7.63,29.19,5.22,7.22,0.0784,3019.27
49.55,6.36,8.15,8.79,11.51,17.94,12.7,6.88,2.26,4.73,11.02,7.53,28.88,5.01,7.36,0.0831,2909.19
50.36,6.71,8.42,9.11,10.22,18.64,13.3,7.14,2.26,5,11.67,6.73,30.59,5.27,6.82,0.0841,3160.05
48.45,6.53,8.27,8.79,10.33,18.34,13.15,7.14,2.18,4.95,11.37,6.49,29.03,5.24,6.72,0.0834,3057.22
50.12,6.37,8.55,8.91,10.5,18.91,13.79,7.59,2.3,5.27,11.86,6.79,30.23,5.45,6.97,0.0831,3204.83
51.4,6.53,8.91,9.6,10.58,20.56,14.64,7.99,2.42,5.44,12.18,7.15,31.45,5.61,7.2,0.0851,3313.79
52.81,6.54,9.04,9.76,10.64,20.98,15,8.06,2.48,5.37,12.1,7.2,31.58,5.61,7.22,0.08,3339.77
49.61,6.33,8.77,9.35,10.59,20.28,14.72,7.72,2.43,5.15,11.34,6.96,30.59,5.49,6.98,0.0905,3249.22
53.73,6.69,9.23,9.8,10.44,21.46,15.63,8.36,2.63,5.46,12.13,7.33,32.69,5.71,7.53,0.0915,3441.48
52.49,6.5,9.17,9.69,10.47,21.24,15.4,8.13,2.58,5.33,11.82,7.2,32.05,5.69,7.46,0.0926,3376.73
50.63,6.39,8.93,9.31,10.51,20.57,15.03,7.95,2.52,5.16,11.39,6.93,31.32,5.6,7.3,0.0985,3285.82
