,ROC,ROC5,Momemtum2,BBmavg,BBup,BBpctB,DIp,DIn,DI,ADX,ema20,sma20,ema60,sma60,MACDoscil,MACDsignal,rsi,SfastK,SfastD,SslowD,SMI,SMIsignal,Yc
1,-0.005255747,-0.022588913,-0.005796,0.305823248,0.31536109,0.186027091,16.78497983,29.2983695,27.15381989,14.19373876,0.30620767,0.30597255,0.3095119,0.3095119,-0.492242104,-0.275725491,40.09236419,0.125002508,0.178393429,0.295083,-13.39006096,-6.122180976,1
2,-0.010601837,-0.029748069,-0.004742,0.30578815,0.315441641,0.073320036,16.00578212,29.2648976,29.28852752,15.27193796,0.305299511,0.30578815,0.30909092,0.3089586,-0.680693422,-0.356719077,36.96361757,0.023809626,0.069211371,0.182243745,-17.86660394,-8.471065568,1
3,0.005314968,-0.031306652,-0.001581,0.3058145,0.315388122,0.132607639,16.4920225,27.68328274,25.33374739,15.99063863,0.304628415,0.3058145,0.308735578,0.30853705,-0.779894083,-0.441354078,39.50563395,0.12903902,0.092617051,0.113407284,-21.47883992,-11.07262044,1
4,0.014033367,-0.010399733,0.005796,0.305840855,0.315366723,0.286085014,19.85073334,25.46058049,12.38067643,15.73278419,0.304422661,0.30589355,0.308530084,0.308256,-0.738173995,-0.500718062,45.78294148,0.38706215,0.179970265,0.113932896,-22.67601996,-13.39330034,1
5,0.03593232,0.039423072,0.015281,0.306385383,0.315880978,0.765429684,28.7729074,21.84090875,13.69586246,15.58728978,0.305290408,0.30655225,0.308694147,0.308256,-0.406597147,-0.481893879,58.08123219,0.942856114,0.486319095,0.252968804,-18.03037725,-14.32071572,1
6,-0.00336734,0.041311479,0.010012,0.306921105,0.316830746,0.851379465,30.34296912,20.22531986,20.00789323,15.90304717,0.305975131,0.3069738,0.308818273,0.308335033,-0.170562326,-0.419627568,56.76057465,0.756092696,0.695336987,0.453875449,-12.90705471,-14.03798352,1
7,-0.01016736,0.041745955,-0.004215,0.307035277,0.31706422,0.683913698,27.76275824,22.75640985,9.90979974,15.47495807,0.306293595,0.3069738,0.30883469,0.308343817,-0.066470501,-0.348996155,52.87734893,0.609780082,0.769576297,0.650410793,-9.481773563,-13.12674153,1
8,-0.005124335,0.031306652,-0.004742,0.306710329,0.316069825,0.60181736,26.54721458,22.3857173,8.50449202,14.97706764,0.306431157,0.30649955,0.308798733,0.308396517,-0.025390058,-0.284274935,50.99806831,0.536600632,0.634157803,0.699690362,-7.542729855,-12.0099392,1
9,-0.010328126,0.006945159,-0.004743,0.306236069,0.314650735,0.495292463,24.40974136,24.91914847,1.032674997,13.98103959,0.306254475,0.3059199,0.308660283,0.3083526,-0.075226603,-0.242465269,47.37182642,0.390241731,0.512207482,0.638647194,-7.708782548,-11.14970787,1
10,0.035688014,0.006700853,0.007904,0.306508314,0.315436399,0.873797631,28.10258266,21.60475894,13.072161,13.91611969,0.307148525,0.3063151,0.308889192,0.308291117,0.174233486,-0.159125518,58.49476229,0.902451597,0.609764653,0.585376646,-3.116604245,-9.543087142,0
